NominalCode,Date,Narrative,Amount
645100 - Community Facilities Staff - Wages and salaries,04/21/2024,Breakfast club staff - Wages,9919.3
645100 - Community Facilities Staff - Wages and salaries,05/19/2024,Breakfast club staff - Wages,9610.98
645100 - Community Facilities Staff - Wages and salaries,06/21/2024,Breakfast club staff - Wages,9575.87
645100 - Community Facilities Staff - Wages and salaries,07/21/2024,Breakfast club staff - Wages,9724.57
645100 - Community Facilities Staff - Wages and salaries,08/21/2024,Breakfast club staff - Wages,9562.6
645300 - Community Facilities Staff - Pension,09/21/2023,Breakfast club staff - ER's Pension,1076.45
645300 - Community Facilities Staff - Pension,10/21/2023,Breakfast club staff - ER's Pension,1023.6
645300 - Community Facilities Staff - Pension,11/21/2023,Breakfast club staff - ER's Pension,1806.95
645300 - Community Facilities Staff - Pension,12/16/2023,Breakfast club staff - ER's Pension,1131.67
645300 - Community Facilities Staff - Pension,01/20/2024,Breakfast club staff - ER's Pension,1131.67
645300 - Community Facilities Staff - Pension,02/21/2024,Breakfast club staff - ER's Pension,1121
645300 - Community Facilities Staff - Pension,03/21/2024,Breakfast club staff - ER's Pension,1106.79
645300 - Community Facilities Staff - Pension,04/21/2024,Breakfast club staff - ER's Pension,1378.59
645300 - Community Facilities Staff - Pension,05/19/2024,Breakfast club staff - ER's Pension,1325.56
645300 - Community Facilities Staff - Pension,06/21/2024,Breakfast club staff - ER's Pension,1319.51
645300 - Community Facilities Staff - Pension,07/21/2024,Breakfast club staff - ER's Pension,1330.54
645300 - Community Facilities Staff - Pension,08/21/2024,Breakfast club staff - ER's Pension,1313.6
760550 - Fire Alarm and Extinguisher Serv,10/20/2023,Fire Risk assessment ,1510.32
835500 - Medical,09/23/2023,"Various for First Aid incl ice packs, sick bags",661.5
835500 - Medical,01/30/2024,"Various for First Aid incl ice packs, sick bags",447.4
835500 - Medical,02/03/2024,"Various for First Aid incl ice packs, sick bags",116.65
835500 - Medical,04/19/2024,"Various for First Aid incl ice packs, sick bags",465.24
835500 - Medical,05/03/2024,"Various for First Aid incl ice packs, sick bags",446.03
835500 - Medical,05/08/2024,"Various for First Aid incl ice packs, sick bags",170.18
835500 - Medical,06/14/2024,"Various for First Aid incl ice packs, sick bags",617.58
835500 - Medical,06/19/2024,"Various for First Aid incl ice packs, sick bags",247.03
835500 - Medical,06/23/2024,"Various for First Aid incl ice packs, sick bags",583.27
835500 - Medical,06/28/2024,"Various for First Aid incl ice packs, sick bags",71.36
810350 - Educational Furniture,09/14/2023,Chairs,1678.13
810350 - Educational Furniture,11/30/2023,Tables,2237.51
810350 - Educational Furniture,12/16/2023,Bookshelves,2796.89
760100 - Grounds Maintenance,09/23/2023, Grounds Maintenance contract,650
760100 - Grounds Maintenance,10/28/2023, Grounds Maintenance contract,650
760100 - Grounds Maintenance,11/01/2023, Grounds Maintenance contract,650
760100 - Grounds Maintenance,12/01/2023, Grounds Maintenance contract,650
760100 - Grounds Maintenance,01/30/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,02/28/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,03/31/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,05/29/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,06/22/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,07/21/2024, Grounds Maintenance contract,650
760100 - Grounds Maintenance,08/21/2024, Grounds Maintenance contract,650
720100 - Gas,09/30/2023,Mains Gas,2455.82
720100 - Gas,10/31/2023,Mains Gas,6915.59
720100 - Gas,11/30/2023,Mains Gas,7832.08
720100 - Gas,12/31/2023,Mains Gas,17079.68
720100 - Gas,01/31/2024,Mains Gas,24927.99
720100 - Gas,02/29/2024,Mains Gas,29282.49
720100 - Gas,03/31/2024,Mains Gas,10653.73
720100 - Gas,04/30/2024,Mains Gas,7661.95
720100 - Gas,05/31/2024,Mains Gas,15308.32
720100 - Gas,06/30/2024,Mains Gas,8980.74
720100 - Gas,07/31/2024,Mains Gas,5817.53
720100 - Gas,08/31/2024,Mains Gas,5317.82
760100 - Grounds Maintenance,03/13/2024,Gate maintenance ,500
710100 - Building Repair and Maintenance,09/08/2023,Building Repair and Maintenance,16.2
710100 - Building Repair and Maintenance,09/13/2023,Building Repair and Maintenance,37.51
710100 - Building Repair and Maintenance,09/15/2023,Building Repair and Maintenance,21.07
710100 - Building Repair and Maintenance,09/22/2023,Building Repair and Maintenance,38.16
710100 - Building Repair and Maintenance,09/28/2023,Building Repair and Maintenance,46.76
710100 - Building Repair and Maintenance,09/30/2023,Building Repair and Maintenance,342.73
710100 - Building Repair and Maintenance,10/05/2023,Building Repair and Maintenance,32.87
710100 - Building Repair and Maintenance,10/07/2023,Building Repair and Maintenance,34.86
710100 - Building Repair and Maintenance,10/11/2023,Building Repair and Maintenance,118.14
710100 - Building Repair and Maintenance,10/17/2023,Building Repair and Maintenance,17.39
710100 - Building Repair and Maintenance,10/31/2023,Building Repair and Maintenance,1133.41
710100 - Building Repair and Maintenance,11/03/2023,Building Repair and Maintenance,62.26
710100 - Building Repair and Maintenance,11/04/2023,Building Repair and Maintenance,18.45
710100 - Building Repair and Maintenance,11/08/2023,Building Repair and Maintenance,111.42
710100 - Building Repair and Maintenance,11/14/2023,Building Repair and Maintenance,451.2
710100 - Building Repair and Maintenance,11/15/2023,Building Repair and Maintenance,10.37
710100 - Building Repair and Maintenance,11/16/2023,Building Repair and Maintenance,53.94
710100 - Building Repair and Maintenance,11/18/2023,Building Repair and Maintenance,1484.23
710100 - Building Repair and Maintenance,11/19/2023,Building Repair and Maintenance,16.52
710100 - Building Repair and Maintenance,11/22/2023,Building Repair and Maintenance,36.91
710100 - Building Repair and Maintenance,11/23/2023,Building Repair and Maintenance,70.33
710100 - Building Repair and Maintenance,11/24/2023,Building Repair and Maintenance,740.13
710100 - Building Repair and Maintenance,11/25/2023,Building Repair and Maintenance,39.15
710100 - Building Repair and Maintenance,12/09/2023,Building Repair and Maintenance,12.97
710100 - Building Repair and Maintenance,12/12/2023,Building Repair and Maintenance,17.75
710100 - Building Repair and Maintenance,12/14/2023,Building Repair and Maintenance,349.5
710100 - Building Repair and Maintenance,12/16/2023,Building Repair and Maintenance,4.9
710100 - Building Repair and Maintenance,12/19/2023,Building Repair and Maintenance,307.66
710100 - Building Repair and Maintenance,12/20/2023,Building Repair and Maintenance,393.8
710100 - Building Repair and Maintenance,12/21/2023,Building Repair and Maintenance,469.39
710100 - Building Repair and Maintenance,12/21/2023,Building Repair and Maintenance,7555.9
710100 - Building Repair and Maintenance,01/09/2024,Building Repair and Maintenance,77.36
710100 - Building Repair and Maintenance,01/12/2024,Building Repair and Maintenance,10.87
710100 - Building Repair and Maintenance,01/18/2024,Building Repair and Maintenance,47.16
710100 - Building Repair and Maintenance,01/18/2024,Building Repair and Maintenance,527.94
710100 - Building Repair and Maintenance,01/31/2024,Building Repair and Maintenance,38.57
710100 - Building Repair and Maintenance,02/02/2024,Building Repair and Maintenance,87.17
710100 - Building Repair and Maintenance,02/08/2024,Building Repair and Maintenance,16.75
710100 - Building Repair and Maintenance,02/15/2024,Building Repair and Maintenance,153.83
710100 - Building Repair and Maintenance,02/20/2024,Building Repair and Maintenance,947.59
710100 - Building Repair and Maintenance,02/20/2024,Building Repair and Maintenance,1685.97
710100 - Building Repair and Maintenance,03/01/2024,Building Repair and Maintenance,18.39
710100 - Building Repair and Maintenance,03/09/2024,Building Repair and Maintenance,156.51
710100 - Building Repair and Maintenance,03/16/2024,Building Repair and Maintenance,897.48
710100 - Building Repair and Maintenance,03/17/2024,Building Repair and Maintenance,22.82
710100 - Building Repair and Maintenance,03/22/2024,Building Repair and Maintenance,51.8
710100 - Building Repair and Maintenance,03/28/2024,Building Repair and Maintenance,49.3
710100 - Building Repair and Maintenance,04/03/2024,Building Repair and Maintenance,221.51
710100 - Building Repair and Maintenance,04/06/2024,Building Repair and Maintenance,897.48
710100 - Building Repair and Maintenance,04/14/2024,Building Repair and Maintenance,953.74
710100 - Building Repair and Maintenance,04/17/2024,Building Repair and Maintenance,16.79
710100 - Building Repair and Maintenance,04/18/2024,Building Repair and Maintenance,37.94
710100 - Building Repair and Maintenance,04/19/2024,Building Repair and Maintenance,540.25
710100 - Building Repair and Maintenance,04/19/2024,Building Repair and Maintenance,982.04
710100 - Building Repair and Maintenance,04/24/2024,Building Repair and Maintenance,11.3
710100 - Building Repair and Maintenance,04/28/2024,Building Repair and Maintenance,524.25
710100 - Building Repair and Maintenance,04/28/2024,Building Repair and Maintenance,701.46
710100 - Building Repair and Maintenance,04/28/2024,Building Repair and Maintenance,1053.42
710100 - Building Repair and Maintenance,05/02/2024,Building Repair and Maintenance,171.72
710100 - Building Repair and Maintenance,05/15/2024,Building Repair and Maintenance,76.3
710100 - Building Repair and Maintenance,05/16/2024,Building Repair and Maintenance,47.12
710100 - Building Repair and Maintenance,05/24/2024,Building Repair and Maintenance,156.13
710100 - Building Repair and Maintenance,05/31/2024,Building Repair and Maintenance,547.63
710100 - Building Repair and Maintenance,06/02/2024,Building Repair and Maintenance,916.82
710100 - Building Repair and Maintenance,06/06/2024,Building Repair and Maintenance,1538.29
710100 - Building Repair and Maintenance,06/07/2024,Building Repair and Maintenance,76.3
710100 - Building Repair and Maintenance,06/08/2024,Building Repair and Maintenance,13.84
710100 - Building Repair and Maintenance,06/14/2024,Building Repair and Maintenance,44.8
710100 - Building Repair and Maintenance,06/19/2024,Building Repair and Maintenance,102.54
710100 - Building Repair and Maintenance,06/23/2024,Building Repair and Maintenance,11.76
710100 - Building Repair and Maintenance,06/28/2024,Building Repair and Maintenance,338.42
710100 - Building Repair and Maintenance,06/29/2024,Building Repair and Maintenance,540.25
710100 - Building Repair and Maintenance,06/30/2024,Building Repair and Maintenance,1596.13
710100 - Building Repair and Maintenance,07/03/2024,Building Repair and Maintenance,6.68
710100 - Building Repair and Maintenance,07/12/2024,Building Repair and Maintenance,131.7
710100 - Building Repair and Maintenance,07/13/2024,Building Repair and Maintenance,282.02
710100 - Building Repair and Maintenance,07/25/2024,Building Repair and Maintenance,3428.54
710100 - Building Repair and Maintenance,07/28/2024,Building Repair and Maintenance,594.1
710100 - Building Repair and Maintenance,08/15/2024,Building Repair and Maintenance,46.95
710100 - Building Repair and Maintenance,08/24/2024,Building Repair and Maintenance,861.44
810200 - Curriculum Materials,09/07/2023,General Curriculum Materials,16.29
810200 - Curriculum Materials,09/07/2023,General Curriculum Materials,886.01
810200 - Curriculum Materials,09/27/2023,General Curriculum Materials,3814.96
810200 - Curriculum Materials,09/29/2023,General Curriculum Materials,156.08
810200 - Curriculum Materials,09/30/2023,General Curriculum Materials,319.94
810200 - Curriculum Materials,10/04/2023,General Curriculum Materials,142.54
810200 - Curriculum Materials,10/17/2023,General Curriculum Materials,36.92
810200 - Curriculum Materials,10/17/2023,General Curriculum Materials,2953.47
810200 - Curriculum Materials,10/19/2023,General Curriculum Materials,110.74
810200 - Curriculum Materials,10/31/2023,General Curriculum Materials,153.83
810200 - Curriculum Materials,11/10/2023,General Curriculum Materials,639.95
810200 - Curriculum Materials,11/13/2023,General Curriculum Materials,59.48
810200 - Curriculum Materials,11/14/2023,General Curriculum Materials,78.6
810200 - Curriculum Materials,11/15/2023,General Curriculum Materials,6.14
810200 - Curriculum Materials,11/18/2023,General Curriculum Materials,33.1
810200 - Curriculum Materials,11/25/2023,General Curriculum Materials,459.4
810200 - Curriculum Materials,11/30/2023,General Curriculum Materials,126.62
810200 - Curriculum Materials,12/07/2023,General Curriculum Materials,59.59
810200 - Curriculum Materials,12/08/2023,General Curriculum Materials,1.34
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,3.89
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,4.09
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,4.41
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,5.12
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,5.73
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,6.1
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,9.22
810200 - Curriculum Materials,12/11/2023,General Curriculum Materials,10.24
810200 - Curriculum Materials,12/12/2023,General Curriculum Materials,74.21
810200 - Curriculum Materials,12/20/2023,General Curriculum Materials,11000.01
810200 - Curriculum Materials,12/24/2023,General Curriculum Materials,6.13
810200 - Curriculum Materials,01/12/2024,General Curriculum Materials,105.81
810200 - Curriculum Materials,01/12/2024,General Curriculum Materials,143.06
810200 - Curriculum Materials,01/18/2024,General Curriculum Materials,43.5
810200 - Curriculum Materials,01/18/2024,General Curriculum Materials,68.34
810200 - Curriculum Materials,01/19/2024,General Curriculum Materials,38.94
810200 - Curriculum Materials,01/19/2024,General Curriculum Materials,87.67
810200 - Curriculum Materials,01/19/2024,General Curriculum Materials,431.92
810200 - Curriculum Materials,02/11/2024,General Curriculum Materials,1051.02
810200 - Curriculum Materials,02/28/2024,General Curriculum Materials,262.4
810200 - Curriculum Materials,03/21/2024,General Curriculum Materials,54.34
810200 - Curriculum Materials,03/21/2024,General Curriculum Materials,61.65
810200 - Curriculum Materials,03/31/2024,General Curriculum Materials,135.82
810200 - Curriculum Materials,03/31/2024,General Curriculum Materials,573.54
810200 - Curriculum Materials,04/26/2024,General Curriculum Materials,87.94
810200 - Curriculum Materials,05/01/2024,General Curriculum Materials,138.45
810200 - Curriculum Materials,05/03/2024,General Curriculum Materials,280.07
810200 - Curriculum Materials,05/10/2024,General Curriculum Materials,153.28
810200 - Curriculum Materials,05/11/2024,General Curriculum Materials,527.2
810200 - Curriculum Materials,05/12/2024,General Curriculum Materials,14.36
810200 - Curriculum Materials,05/12/2024,General Curriculum Materials,256.93
810200 - Curriculum Materials,05/17/2024,General Curriculum Materials,25.3
810200 - Curriculum Materials,05/18/2024,General Curriculum Materials,131.19
810200 - Curriculum Materials,05/19/2024,General Curriculum Materials,417.39
810200 - Curriculum Materials,05/25/2024,General Curriculum Materials,27.68
810200 - Curriculum Materials,05/25/2024,General Curriculum Materials,147.11
810200 - Curriculum Materials,05/26/2024,General Curriculum Materials,571.89
810200 - Curriculum Materials,06/02/2024,General Curriculum Materials,138.38
810200 - Curriculum Materials,06/11/2024,General Curriculum Materials,29.2
810200 - Curriculum Materials,06/11/2024,General Curriculum Materials,74.96
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/20/2024,General Curriculum Materials,15.37
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,3.68
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,4.05
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,5.45
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,6.14
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,7.16
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,8.91
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,10.24
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,12.04
810200 - Curriculum Materials,06/21/2024,General Curriculum Materials,13.32
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,5.22
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,6.14
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,7.16
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,8.54
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,8.59
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,9.22
810200 - Curriculum Materials,06/22/2024,General Curriculum Materials,27.54
810200 - Curriculum Materials,06/23/2024,General Curriculum Materials,14.3
810200 - Curriculum Materials,06/23/2024,General Curriculum Materials,14.32
810200 - Curriculum Materials,06/25/2024,General Curriculum Materials,4.27
810200 - Curriculum Materials,06/25/2024,General Curriculum Materials,13.27
810200 - Curriculum Materials,06/26/2024,General Curriculum Materials,6.14
810200 - Curriculum Materials,06/26/2024,General Curriculum Materials,22.14
810200 - Curriculum Materials,06/26/2024,General Curriculum Materials,36.72
810200 - Curriculum Materials,06/27/2024,General Curriculum Materials,8.18
810200 - Curriculum Materials,06/27/2024,General Curriculum Materials,17.11
810200 - Curriculum Materials,06/28/2024,General Curriculum Materials,3.58
810200 - Curriculum Materials,06/28/2024,General Curriculum Materials,5.72
810200 - Curriculum Materials,06/28/2024,General Curriculum Materials,10.24
810200 - Curriculum Materials,06/29/2024,General Curriculum Materials,18.43
810200 - Curriculum Materials,07/02/2024,General Curriculum Materials,4.09
810200 - Curriculum Materials,07/04/2024,General Curriculum Materials,239.12
810200 - Curriculum Materials,07/05/2024,General Curriculum Materials,84.4
810200 - Curriculum Materials,07/07/2024,General Curriculum Materials,103.62
810200 - Curriculum Materials,07/13/2024,General Curriculum Materials,23.25
810200 - Curriculum Materials,07/13/2024,General Curriculum Materials,42.51
810200 - Curriculum Materials,07/26/2024,General Curriculum Materials,5703.34
810200 - Curriculum Materials,08/31/2024,General Curriculum Materials,1213.71
760350 - Health & Safety,09/30/2023,Health & Safety,113.22
760350 - Health & Safety,10/14/2023,Health & Safety,239.97
760350 - Health & Safety,10/28/2023,Health & Safety,239.97
760350 - Health & Safety,10/31/2023,Health & Safety,379.03
760350 - Health & Safety,11/30/2023,Health & Safety,113.22
760350 - Health & Safety,12/31/2023,Health & Safety,113.22
760350 - Health & Safety,01/31/2024,Health & Safety,169.83
760350 - Health & Safety,02/28/2024,Health & Safety,57.84
760350 - Health & Safety,02/28/2024,Health & Safety,363.04
760350 - Health & Safety,03/31/2024,Health & Safety,126.76
760350 - Health & Safety,04/30/2024,Health & Safety,68.92
760350 - Health & Safety,05/31/2024,Health & Safety,115.68
760350 - Health & Safety,06/01/2024,Health & Safety,1100.11
760350 - Health & Safety,06/30/2024,Health & Safety,520.56
760350 - Health & Safety,07/31/2024,Health & Safety,115.68
760350 - Health & Safety,08/31/2024,Health & Safety,1879.51
760350 - Health & Safety,08/31/2024,Health & Safety,57.84
760350 - Health & Safety,10/20/2023,Health & Safety,307.66
855200 - Personnel/HR,01/10/2024,Personnel/HR,932.3
855200 - Personnel/HR,04/26/2024,Personnel/HR,932.3
855200 - Personnel/HR,08/31/2024,Personnel/HR,2013.76
810200 - Curriculum Materials,09/01/2023,ICT Curriculum Materials,1547.61
810200 - Curriculum Materials,09/01/2023,ICT Curriculum Materials,1044.17
810200 - Curriculum Materials,09/11/2023,ICT Curriculum Materials,223.75
810200 - Curriculum Materials,09/12/2023,ICT Curriculum Materials,447.5
810200 - Curriculum Materials,10/28/2023,ICT Curriculum Materials,61.53
810200 - Curriculum Materials,04/23/2024,ICT Curriculum Materials,428.86
855170 - Legal - other,09/01/2023,Internal scrutiny reports ,3356.27
820100 - Educational IT Equipment,09/15/2023,Educational IT Equipment,1156.05
820100 - Educational IT Equipment,09/26/2023,Educational IT Equipment,2349.39
820100 - Educational IT Equipment,09/28/2023,Educational IT Equipment,1156.05
820100 - Educational IT Equipment,01/19/2024,Educational IT Equipment,2349.39
820100 - Educational IT Equipment,02/28/2024,Educational IT Equipment,447.5
820100 - Educational IT Equipment,09/15/2023,Monitor ,581.75
820100 - Educational IT Equipment,09/23/2023,USB adapter,90.06
820100 - Educational IT Equipment,09/27/2023,Hard drives ,2013.76
820100 - Educational IT Equipment,10/05/2023,Mouse ,100.09
820100 - Educational IT Equipment,10/06/2023,Keyboard ,32.45
820100 - Educational IT Equipment,10/15/2023,Headphones,1211.46
820100 - Educational IT Equipment,03/31/2024,Mouse ,46.58
820100 - Educational IT Equipment,03/03/2024,Mac book charger ,80.4
850300 - Catering - Maintenance&Repair,07/10/2024,Kitchen Equipment Service and Gas Safety Check,2946.06
820150 - Educational software & licences,09/01/2023,Language Angels Subscription,932.3
520200 - LA - Other grants,12/15/2023,SENIF,-617.58
520200 - LA - Other grants,03/15/2024,SENIF,-617.58
520200 - LA - Other grants,06/15/2024,SENIF,-322.51
520200 - LA - Other grants,07/14/2024,SENIF,-322.51
855170 - Legal - other,12/31/2023,Legal Services,1547.61
855170 - Legal - other,03/31/2024,Legal Services,1547.61
855170 - Legal - other,07/30/2024,Legal Services,1547.61
820150 - Educational software & licences,10/20/2023,Letter-join  subscription ,984.51
530100 - Hire of facilities,11/30/2023,Main hall letting,-559.38
530100 - Hire of facilities,12/06/2023,Main hall letting,-559.38
530100 - Hire of facilities,12/10/2023,Main hall letting,-559.38
530100 - Hire of facilities,07/06/2024,Main hall letting,-559.38
530100 - Hire of facilities,07/06/2024,Main hall letting,-559.38
530100 - Hire of facilities,07/07/2024,Main hall letting,-3356.27
530100 - Hire of facilities,07/07/2024,Main hall letting,-3356.27
530100 - Hire of facilities,07/07/2024,Main hall letting,-2610.43
530100 - Hire of facilities,07/07/2024,Main hall letting,-2610.43
530100 - Hire of facilities,07/07/2024,Main hall letting,-3356.27
530100 - Hire of facilities,07/20/2024,Main hall letting,-2983.35
845200 - Agency teaching assistants,09/30/2023,Agency teaching assistants,5817.53
845200 - Agency teaching assistants,10/31/2023,Agency teaching assistants,4072.27
845200 - Agency teaching assistants,11/30/2023,Agency teaching assistants,6981.04
845200 - Agency teaching assistants,12/31/2023,Agency teaching assistants,2908.77
845200 - Agency teaching assistants,01/31/2024,Agency teaching assistants,581.75
845200 - Agency teaching assistants,02/29/2024,Agency teaching assistants,581.75
845200 - Agency teaching assistants,03/31/2024,Agency teaching assistants,1745.26
845200 - Agency teaching assistants,04/30/2024,Agency teaching assistants,4654.03
845200 - Agency teaching assistants,05/31/2024,Agency teaching assistants,3490.52
845200 - Agency teaching assistants,06/30/2024,Agency teaching assistants,5817.53
845200 - Agency teaching assistants,07/31/2024,Agency teaching assistants,2908.77
510100 - DFE Revenue Grants,09/01/2023,Lump Sum,-13485.8
510100 - DFE Revenue Grants,10/03/2023,Lump Sum,-13485.8
510100 - DFE Revenue Grants,11/01/2023,Lump Sum,-13485.8
510100 - DFE Revenue Grants,12/01/2023,Lump Sum,-13485.8
510100 - DFE Revenue Grants,01/03/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,02/01/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,03/01/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,04/02/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,05/02/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,06/01/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,07/02/2024,Lump Sum,-13485.8
510100 - DFE Revenue Grants,08/01/2024,Lump Sum,-13486.01
710100 - Building Repair and Maintenance,09/24/2023,Man Safe System testing ,1305.22
810200 - Curriculum Materials,11/16/2023,Math - Curriculum Materials,372.92
810200 - Curriculum Materials,11/18/2023,Math - Curriculum Materials,147.68
810200 - Curriculum Materials,03/21/2024,Math - Curriculum Materials,347.26
810200 - Curriculum Materials,03/28/2024,Math - Curriculum Materials,47.99
810200 - Curriculum Materials,05/03/2024,Math - Curriculum Materials,39.83
810200 - Curriculum Materials,05/10/2024,Math - Curriculum Materials,254.55
810200 - Curriculum Materials,05/26/2024,Math - Curriculum Materials,135
810200 - Curriculum Materials,09/23/2023,Math - Curriculum Materials,449.59
810200 - Curriculum Materials,11/18/2023,Math - Curriculum Materials,147.68
810200 - Curriculum Materials,03/21/2024,Math - Curriculum Materials,384.55
810200 - Curriculum Materials,05/04/2024,Math - Curriculum Materials,27.71
635200 - Midday Supervisors - Employers NI,09/25/2023,MDA Staff - Employers NI,122.32
635200 - Midday Supervisors - Employers NI,10/25/2023,MDA Staff - Employers NI,293.59
635200 - Midday Supervisors - Employers NI,11/25/2023,MDA Staff - Employers NI,782.57
635200 - Midday Supervisors - Employers NI,12/25/2023,MDA Staff - Employers NI,178.92
635200 - Midday Supervisors - Employers NI,01/25/2024,MDA Staff - Employers NI,172.4
635200 - Midday Supervisors - Employers NI,02/25/2024,MDA Staff - Employers NI,220.64
635200 - Midday Supervisors - Employers NI,03/25/2024,MDA Staff - Employers NI,146.53
635200 - Midday Supervisors - Employers NI,04/25/2024,MDA Staff - Employers NI,126.58
635200 - Midday Supervisors - Employers NI,05/25/2024,MDA Staff - Employers NI,135.71
635200 - Midday Supervisors - Employers NI,06/25/2024,MDA Staff - Employers NI,165.16
635200 - Midday Supervisors - Employers NI,07/25/2024,MDA Staff - Employers NI,154.46
635200 - Midday Supervisors - Employers NI,08/25/2024,MDA Staff - Employers NI,150.3
635100 - Midday Supervisors - Wages and salaries,09/25/2023,MDA Staff - Wages,16381.55
635100 - Midday Supervisors - Wages and salaries,10/25/2023,MDA Staff - Wages,16658.34
635100 - Midday Supervisors - Wages and salaries,11/25/2023,MDA Staff - Wages,28300.72
635100 - Midday Supervisors - Wages and salaries,12/25/2023,MDA Staff - Wages,18717.5
635100 - Midday Supervisors - Wages and salaries,01/25/2024,MDA Staff - Wages,16497.02
635100 - Midday Supervisors - Wages and salaries,02/25/2024,MDA Staff - Wages,17866.02
635100 - Midday Supervisors - Wages and salaries,03/25/2024,MDA Staff - Wages,16637.94
635100 - Midday Supervisors - Wages and salaries,04/25/2024,MDA Staff - Wages,16523.98
635100 - Midday Supervisors - Wages and salaries,05/25/2024,MDA Staff - Wages,16885.99
635100 - Midday Supervisors - Wages and salaries,06/25/2024,MDA Staff - Wages,17131.53
635100 - Midday Supervisors - Wages and salaries,07/25/2024,MDA Staff - Wages,17955.87
635100 - Midday Supervisors - Wages and salaries,08/25/2024,MDA Staff - Wages,17532.79
635300 - Midday Supervisors - Employers Pension,09/25/2023,MDA Staff - Pension,2141.77
635300 - Midday Supervisors - Employers Pension,10/25/2023,MDA Staff - Pension,2179.36
635300 - Midday Supervisors - Employers Pension,11/25/2023,MDA Staff - Pension,3690.19
635300 - Midday Supervisors - Employers Pension,12/25/2023,MDA Staff - Pension,2450.92
635300 - Midday Supervisors - Employers Pension,01/25/2024,MDA Staff - Pension,2146.72
635300 - Midday Supervisors - Employers Pension,02/25/2024,MDA Staff - Pension,2334.28
635300 - Midday Supervisors - Employers Pension,03/25/2024,MDA Staff - Pension,2166.04
635300 - Midday Supervisors - Employers Pension,04/25/2024,MDA Staff - Pension,2734.62
635300 - Midday Supervisors - Employers Pension,05/25/2024,MDA Staff - Pension,2762.01
635300 - Midday Supervisors - Employers Pension,06/25/2024,MDA Staff - Pension,2773.11
635300 - Midday Supervisors - Employers Pension,07/25/2024,MDA Staff - Pension,2943.65
635300 - Midday Supervisors - Employers Pension,08/25/2024,MDA Staff - Pension,2872.65
760300 - Hygiene Supplies & Services,09/01/2023,"Medical, Sanitary & Nappy Bins",2423.97
760300 - Hygiene Supplies & Services,12/01/2023,"Medical, Sanitary & Nappy Bins",2423.97
855170 - Legal - other,12/30/2023,Pension Scheme Acturial report,3561.38
820400 - ICT Licences,09/28/2023,Microsoft licence,1476.12
820400 - ICT Licences,10/28/2023,Microsoft licence,1476.12
820400 - ICT Licences,11/28/2023,Microsoft licence,1476.12
820400 - ICT Licences,12/28/2023,Microsoft licence,1476.12
820400 - ICT Licences,01/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,02/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,03/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,04/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,05/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,06/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,07/28/2024,Microsoft licence,1476.12
820400 - ICT Licences,08/28/2024,Microsoft licence,1476.12
510100 - DFE Revenue Grants,09/01/2023,Minimum Funding Guarantee,-101625.17
